[21:39:28] [main/INFO]: ModLauncher running: args [--username, nolybutt, --version, 1.21.1, --gameDir, C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted, --assetsDir, C:\Users\nolyn\AppData\Roaming\ATLauncher\assets, --assetIndex, 17, --uuid, 1eb4eefd-5d54-4f3d-b561-998578914989, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.213, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width=1280, --height=720]
[21:39:28] [main/INFO]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[21:39:28] [main/INFO]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[21:39:28] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[21:39:28] [main/INFO]: Trying GL version 4.6
[21:39:28] [main/INFO]: Requested GL version 4.6 got version 4.6
[21:39:28] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/nolyn/AppData/Roaming/ATLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23121!/ Service=ModLauncher Env=CLIENT
[21:39:28] [main/INFO]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.213:client]
[21:39:28] [main/INFO]: Found mod file "neoforge-21.1.213-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\nolyn\AppData\Roaming\ATLauncher\libraries\net\neoforged\neoforge\21.1.213\neoforge-21.1.213-universal.jar]], reader: mod manifest]
[21:39:28] [main/INFO]: Found library file "~nonexistent" [locator: org.sinytra.connector.locator.ConnectorEarlyLocatorBootstrap@2b5cb9b2]
[21:39:28] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 5070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.57, NVIDIA Corporation
[21:39:28] [main/INFO]: Found mod file "create_cyber_goggles-1.21.1-6.5.15-NeoForge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_extra_casing-4.0.4.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_ironworks-4.0.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_oxidized-0.1.3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_power_loader-2.0.3-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_ratatouille-1.21.1-1.3.5fix1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_simple_generator-1.0.8-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_sophback_compat-1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_things_and_misc-4.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_train_parts-0.3.2-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_ultimate_factory-2.2.1-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_vibrant_vaults-0.3.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createaddition-1.5.5.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createbetterfps-1.21.1-1.1.3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createcclogistics-1.21.1-0.3.6.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createdieselgenerators-1.21.1-1.3.5.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createfisheryindustry-4.2.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createfood-neoforge-1.21.1-2.0.0-beta-3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createframed-1.21.1-1.6.8.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createmoreburnerscompat-1.1.0-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createoritechcompat-1.20.1-1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createornithopterglider-1.0.3-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createprism-1.1.3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "createtea1.21.1-neo_forge-1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "croptopia_1.21.1_NEO-FORGE-4.2.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "crowns-1.21.1_1.5.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "CTM-1.21-1.2.1+3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "cuttingdelight-1.0.0-beta.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "decorativelattices 1.21.1 - 1.0 NeoForge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "Decorativewoodenlattices 1.21.1 - v1.2 - NeoForge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "Design-n-Decor-1.21.1-2.1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "DimStorage-1.21.1-9.1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "disable_oritech_ores-1.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "DnDesires-1.21.1-2.2c-BETA.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "doubledoors-1.21.1-7.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "DramaticDoors-NeoQuiFab-1.21.1-3.3.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "DumplingsDelightRewrapped-1.21.1-1.3.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "dynamic-fps-3.9.5+minecraft-1.21.0-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "EdivadLib-1.21-3.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "endermanoverhaul-neoforge-1.21.1-2.0.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "energizedpower-1.21.1-2.15.4-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "energizedpowerbop-1.21.1-1.0.0-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/WARN]: Skipping jar. File mods\enhancedblockentities-0.10.2+1.21.jar is a Fabric mod and cannot be loaded
[21:39:29] [main/INFO]: Found mod file "entityculling-neoforge-1.9.2-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "EpheroLib-1.21.1-NEO-FORGE-1.2.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "everycomp-1.21-2.11.12-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "ExtraDisks-1.21.1-4.0.14.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "ExtraStorage-1.21.1-5.0.7.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "farmers-cutting-biomes-o-plenty-2.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "farmers-cutting-oh-the-biomes-weve-gone-1.21.1-2.1-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "FarmersDelight-1.21.1-1.2.9.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "Fastquit-3.0.1+1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "ferritecore-7.0.2-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "FluidSystem-1.21-5.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "FluxNetworks-1.21.1-8.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "fncct-1.21.1-1.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "forgified-fabric-api-0.115.6+2.1.4+1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "framework-neoforge-1.21.1-0.9.6.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "ftb-jei-extras-21.1.7.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "fusion-1.2.11b-neoforge-mc1.21.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "fxntstorage-1.1.4+mc-1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "geckolib-neoforge-1.21.1-4.8.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:29] [main/INFO]: Found mod file "GlitchCore-neoforge-1.21.1-2.1.0.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
